1,食品・農業・林業,
2,食品生産,1
3,食品加工,1
4,肉の加工,1/3
5,魚の加工,1/3
6,乳製品の加工,1/3
7,飲料・酒類,1
8,清涼飲料製造業,1/7
9,果実酒製造業,1/7
10,ビール類製造業,1/7
11,清酒製造業,1/7
12,蒸留酒・混成酒製造業,1/7
13,製茶業,1/7
14,コーヒー製造業,1/7
15,製氷業,1/7
16,農業,1
17,米作農業,1/16
18,野菜作農業（きのこ類の栽培を含む）,1/16
19,果樹作農業,1/16
20,花き作農業,1/16
21,工芸農作物農業,1/16
22,畜産業,1
23,酪農業,1/22
24,肉用牛生産業,1/22
25,養豚業,1/22
26,養鶏業,1/22
27,畜産類似業,1/22
28,養蚕農業,1/22
29,植物加工・生育,1
30,穀作サービス業,1/29
31,野菜作・果樹作サービス業,1/29
32,穀作，野菜作・果樹作以外の耕種サービス業,1/29
33,畜産サービス業（獣医業を除く）,1/29
34,園芸サービス業,1/29
35,林業,1
36,育林業,1/35
37,素材生産業,1/35
38,製薪炭業,1/35
39,その他の特用林産物生産業（きのこ類の栽培を除く）,1/35
40,育林サービス業,1/35
41,素材生産サービス業,1/35
42,山林種苗生産サービス業,1/35
43,その他の林業サービス業,1/35
44,AgriTech,1
45,その他,1
46,医療・健康,
47,ヘルスケア,46
48,介護,46
49,隔離医療,46
50,医療従事者向けサービス,46
51,医療機器,46
52,医薬品,46
53,病院,46
54,一般病院,46/53
55,精神科病院,46/53
56,有床診療所,46/53
57,無床診療所,46/53
58,歯科診療所,46/53
59,助産所,46
60,看護業,46
61,メンタルヘルス,46
62,臨床診断・検査,46
63,予防医療,46
64,その他,46
65,生活用品・サービス,
66,子育て・保育,65
67,家事サービス業,65
68,衣服裁縫修理業,65
69,シニア,65
70,介護,65
71,ウェディング（結婚支援）,65
72,結婚式場業,65/71
73,冠婚葬祭互助会,65/71
74,結婚相談業，結婚式場紹介業,65/71
75,葬儀,65
76,火葬業,65/75
77,墓地管理業,65/75
78,シェアリングエコノミー,65
79,セキリティ・警備,65
80,美容,65
81,理容,65
82,銭湯,65
83,ペット,65
84,その他,65
85,教育,
86,EdTech,85
87,教育サービス,85
88,研修サービス,85
89,学校教育,85
90,幼稚園,85/89
91,小学校,85/89
92,中学校,85/89
93,高等学校，中等教育学校,85/89
94,特別支援学校,85/89
95,高等教育機関,85/89
96,専修学校，各種学校,85/89
97,社会教育,85
98,公民館,85/97
99,図書館,85/97
100,博物館，美術館,85/97
101,動物園，植物園，水族館,85/97
102,青少年教育施設,85/97
103,社会通信教育,85/97
104,職業・教育支援施設,85
105,職員教育施設・支援業,85/104
106,職業訓練施設,85/104
107,学習塾,85
108,教養・技能教授業,85
109,音楽教授業,85/108
110,書道教授業,85/108
111,生花・茶道教授業,85/108
112,そろばん教授業,85/108
113,外国語会話教授業,85/108
114,スポーツ・健康教授業,85/108
115,その他の教養・技能教授業,85/108
116,その他,85
117,金融,
118,銀行,117
119,信用金庫,117
120,証券,117
121,クレジットカード・信販,117
122,投資,117
123,消費者金融,117
124,生保,117
125,損保,117
126,Fintech,117
127,仮想通貨,117
128,ブロックチェーン,117
129,クラウドファンディング,117
130,決済,117
131,相続,117
132,その他,117
133,建設業,
134,総合工事業,133
135,一般土木建築工事業,133/134
136,土木工事業（舗装工事業を除く）,133/134
137,舗装工事業,133/134
138,建築工事業(木造建築工事業を除く),133/134
139,木造建築工事業,133/134
140,建築リフォーム工事業,133/134
141,職別工事業(設備工事業を除く),133
142,大工工事業,133/141
143,とび・土工・コンクリート工事業,133/141
144,鉄骨・鉄筋工事業,133/141
145,石工・れんが・タイル・ブロック工事業,133/141
146,左官工事業,133/141
147,板金・金物工事業,133/141
148,塗装工事業,133/141
149,床・内装工事業,133/141
150,設備工事業,133
151,一般電気工事業,133/150
152,電気配線工事業,133/150
153,電気通信工事業（有線テレビジョン放送設備設置工事業を除く）,133/150
154,有線テレビジョン放送設備設置工事業,133/150
155,信号装置工事業,133/150
156,一般管工事業,133/150
157,冷暖房設備工事業,133/150
158,給排水・衛生設備工事業,133/150
159,道路工事,133
160,その他,133
161,不動産,
162,住宅,161
163,不動産仲介・賃貸,161
164,マンション管理,161
165,住宅設備,161
166,リフォーム,161
167,土地活用,161
168,コワーキングスペース,161
169,その他,161
170,レジャー・娯楽・旅行・YouTuber,
171,ゲーム,170
172,スポーツ・フィットネス,170
173,芸能,170
